unitid,headcountAll,headcountUndergrad
175005,6046,4438
175014,9347,9347
175041,9855,9855
175078,7909,7345
175139,180,0
175157,976,976
175227,1493,1493
175236,5762,5762
175263,3152,3152
175272,9978,9287
175281,1018,0
175315,14968,14968
175342,4825,3911
175421,4602,3260
175430,659,636
175519,3410,3410
175528,872,872
175573,4939,4939
175616,5562,3373
175643,3745,3745
175652,8215,8215
175786,16844,16844
175810,9795,9795
175829,9492,9492
175856,10736,8089
175883,6020,6020
175935,5384,5384
175980,1084,964
175999,,
176008,4642,4642
176017,20990,17579
176026,2455,789
176035,3483,3222
176044,2947,2536
176053,6065,3561
176071,15097,15097
176080,22956,17820
176169,4413,4413
176178,11433,11433
176239,7797,7797
176318,1043,1043
176336,71,71
176354,2815,2815
176372,19418,15661
176406,1055,1055
176451,134,0
176479,5885,3505
176549,468,468
176600,206,0
176619,511,0
176628,2345,1524
176637,1487,1487
176664,593,488
176770,998,903
176789,425,342
176910,367,367
176938,725,725
176947,1221,1221
176965,14658,11617
177038,722,172
177065,31541,30080
177083,110,110
177092,549,0
177117,325,325
177126,780,0
177135,7208,7208
177144,867,867
177162,1869,1869
177214,7131,6467
177250,5821,5821
177278,207,0
177302,2419,2419
177339,2339,2009
177418,2830,1722
177427,315,0
177472,20355,20355
177542,1528,1502
177551,2025,2025
177579,710,710
177676,7996,7996
177719,1321,1007
177746,822,822
177816,112,35
177834,4395,0
177940,4210,3950
177968,15903,9109
177977,1343,1343
177986,1148,64
177995,33031,33031
178022,,
178059,4666,3514
178110,330,330
178129,,
178183,386,386
178208,1407,394
178217,5164,5164
178226,1056,1056
178244,6076,4218
178305,1629,1629
178341,6681,6565
178350,145,145
178369,1952,1936
178387,7263,7027
178396,37074,27821
178402,20879,14377
178411,8315,5987
178420,21049,16381
178439,,
178448,8082,8082
178518,360,0
178615,6452,6067
178624,8408,6930
178679,713,713
178697,1587,1587
178721,22213,20942
178767,279,279
178785,,
178891,2681,2681
178989,582,400
179043,3234,2308
179070,591,591
179159,20547,14598
179201,1719,1719
179256,357,357
179265,1294,720
179308,42712,42712
179317,275,0
179326,4495,3285
179344,2705,2705
179450,234,234
179511,408,408
179539,7015,7015
179548,1121,832
179557,13657,11811
179566,23667,19480
179645,5968,5968
179715,2267,2267
179812,1075,0
179867,15254,8017
179894,25484,4326
179919,1144,1144
179946,1158,1158
179955,1179,1179
179964,3049,1294
180054,649,649
180081,976,976
180106,1511,1511
180151,954,954
180160,539,539
180179,6605,5736
180197,4039,4039
180203,213,213
180212,702,702
180249,2773,2773
180258,1269,1183
180276,2096,2096
180328,545,545
180373,749,749
180416,2456,2238
180461,16209,13653
180489,18335,15487
180522,1715,1618
180595,1126,1021
180647,1458,1458
180692,1995,1995
180814,13911,9208
180832,1298,912
180878,800,665
180902,13092,13092
180948,3889,2879
180984,2442,1641
181002,9025,4694
181020,1105,1105
181093,556,443
181127,1507,1227
181145,20,20
181215,8575,6074
181242,711,689
181297,1061,850
181303,32769,32769
181312,6979,6979
181330,1164,1108
181376,156,156
181394,17736,14158
181400,1087,1045
181419,266,266
181428,3941,1156
181446,3660,3288
181464,27233,20624
181491,7323,7323
181534,3229,2786
181543,47,47
181604,1241,948
181640,17195,17195
181738,973,896
181747,,
181756,873,873
181765,413,413
181783,4279,3243
181817,8422,8422
181853,526,526
181941,959,959
182005,56364,56364
182111,1765,1765
182148,1661,1661
182281,33809,25706
182290,20947,16864
182306,5119,5077
182430,475,422
182458,1249,615
182500,16617,16617
182519,,
182564,5938,5938
182634,1344,1344
182661,707,661
182670,6680,4679
182795,2706,1977
182829,500,0
182865,4347,4347
182908,302,302
182917,58,58
182980,2424,1064
183026,19126,11913
183044,16611,13280
183062,5819,5562
183071,1878,1330
183080,7339,4829
183099,5919,5919
183105,1541,1541
183114,1765,1765
183123,2321,2321
183132,4707,4707
183141,3416,3416
183150,2969,2969
183211,2836,1753
183239,1971,1971
183248,146,146
183257,3005,2540
183275,82,82
183327,,
183345,,
183600,40,40
183655,10656,10656
183743,24283,24283
183789,4344,4344
183804,7137,3121
183822,2427,2408
183859,21699,21699
183877,17770,17770
183910,2711,1904
183938,21832,21832
183974,3372,2342
184180,12491,12491
184205,5476,5476
184269,2748,2748
184348,3070,2030
184481,16544,16544
184603,11019,7677
184612,2689,2252
184694,3386,2549
184773,3000,1981
184782,13571,11645
184791,10782,10782
184959,1670,1670
184995,12986,12986
185129,10530,7898
185262,18775,15226
185509,13519,13519
185536,19037,19037
185572,7419,5104
185590,21965,16816
185758,213,0
185828,11286,7683
185873,16447,16447
186034,13475,13475
186122,539,0
186131,8079,5240
186186,279,279
186201,6879,6613
186283,6523,5246
186371,7501,5581
186380,44809,35032
186399,14219,9168
186432,3749,2843
186469,1800,1800
186584,10996,5630
186618,2047,1255
186645,12461,12461
186867,6384,2546
186876,9342,8241
186900,101,101
187046,20606,19405
187134,8365,7093
187198,17304,17304
187222,8128,1620
187444,13801,11876
187532,42440,42440
187596,1472,1472
187620,13011,13011
187639,6103,6103
187648,7285,5638
187666,6148,6148
187745,484,484
187897,4979,2938
187903,5951,5951
187912,528,528
187958,3828,3828
187967,2365,1637
187976,1438,1438
187985,33483,24283
187994,5597,5597
188003,2993,2993
188021,2290,2290
188030,20822,16418
188049,3575,3575
188058,2906,2863
188100,12435,12435
188137,7405,7405
188146,580,577
188182,832,362
188207,175,0
188216,725,725
188225,2244,2244
188261,1749,1749
188304,4448,3523
188340,2144,2122
188429,9876,5677
188438,5218,5218
188465,983,983
188517,1347,1347
188526,1654,1086
188535,707,0
188580,852,0
188641,2614,2010
188678,258,258
188687,531,531
188854,1515,1515
189015,1322,0
189088,3267,2925
189097,2544,2544
189228,7357,7357
189264,46,46
189273,57,51
189282,284,284
189413,1713,1574
189422,1334,1334
189459,3078,3078
189501,1412,0
189547,8700,8700
189556,918,918
189565,926,926
189574,1388,1388
189583,1648,1648
189592,867,867
189653,123,123
189705,6033,3574
189811,633,633
189839,7543,7543
189848,1416,1416
189857,733,552
189981,88,0
190035,,
190044,3653,3071
190053,2798,2798
190071,175,175
190080,118,0
190099,3060,3037
190114,1784,1166
190150,28139,7967
190169,2723,2723
190248,961,931
190372,1039,974
190415,21626,14458
190424,1083,0
190442,6654,6654
190451,381,381
190503,4602,4602
190512,22401,17533
190521,31602,31602
190530,15589,15589
190549,21208,16347
190558,17379,16099
190567,19258,15251
190576,7888,1771
190585,8908,8908
190594,28585,20453
190600,18002,15607
190619,26132,26132
190628,23928,23928
190637,16286,13164
190646,9092,9092
190655,20001,20001
190664,25507,20232
190673,21758,21758
190682,501,0
190691,10558,10520
190716,3713,2498
190725,3547,2532
190734,17,9
190761,2267,1786
190770,5407,3241
190840,13280,13280
190956,123,123
190974,915,915
190983,1793,1506
191083,27112,27112
191126,13264,13016
191199,10047,10047
191205,1720,1610
191241,17522,9258
191302,3470,3470
191320,176,0
191339,9029,9029
191515,2010,2010
191533,1607,1607
191597,687,687
191612,5401,5401
191621,1227,1199
191630,2283,2275
191649,12862,7955
191676,1439,1418
191719,19075,19075
191764,173,173
191931,5386,3945
191959,146,146
191968,7263,6585
191986,6841,6841
192004,426,426
192022,5734,5734
192040,476,172
192110,1007,681
192156,778,778
192165,111,111
192192,1964,1719
192244,,
192271,2077,1991
192323,4451,3518
192439,9787,5779
192448,13023,9440
192457,,
192475,,
192509,1801,1801
192554,444,0
192563,537,31
192624,168,168
192688,1583,1583
192703,3820,3358
192712,967,407
192749,3338,1825
192785,1104,1104
192819,7173,6045
192864,2212,2212
192925,3213,2083
192961,123,123
193016,15786,10129
193052,231,141
193061,49,43
193070,93,64
193201,1354,1354
193247,289,218
193283,10238,10238
193292,7226,5871
193308,10193,9559
193317,,
193326,31719,31719
193353,3086,2581
193380,156,156
193399,2359,1810
193405,1161,0
193478,33018,33018
193584,3507,2228
193645,5886,4708
193654,12366,8313
193751,913,0
193821,1913,0
193830,1528,0
193894,475,0
193900,52126,26900
193946,8714,8714
193973,4729,3459
194028,2913,2913
194073,387,0
194091,9522,5662
194116,883,734
194161,4015,2470
194189,138,138
194204,87,87
194222,19490,19490
194240,9746,9746
194310,15160,9613
194392,1137,1137
194499,1455,1455
194541,4839,2002
194569,402,402
194578,6058,4208
194611,2011,2011
194657,259,146
194666,314,264
194675,48,30
194693,59,59
194718,43,42
194736,132,132
194763,506,271
194824,6698,5390
194958,2108,1565
194967,1434,1434
195003,19362,16044
195030,10955,6178
195049,207,0
195058,12350,12350
195128,3476,1898
195155,148,0
195164,2712,2072
195173,3014,2955
195191,306,306
195216,2620,2471
195234,5779,3122
195243,2310,2056
195289,146,146
195304,1845,1463
195322,8917,8917
195429,,
195438,217,197
195474,3525,3466
195492,52,52
195526,2942,2895
195544,6236,5362
195571,150,0
195580,53,0
195687,228,228
195720,4370,3037
195784,869,869
195809,23363,17198
195827,,
195845,1096,1096
195988,2316,2316
196006,4130,4130
196015,5507,5507
196024,3839,3839
196033,2897,2897
196042,10372,10372
196051,3883,3883
196060,19618,14574
196079,16145,12862
196088,32091,21578
196097,28801,18804
196103,2930,2319
196112,2981,2146
196121,9712,8027
196130,15348,11425
196149,8350,6895
196158,6256,5798
196167,6255,5970
196176,9227,7553
196185,6814,6598
196194,9685,8421
196200,4908,4289
196219,5180,5057
196228,317,0
196237,5467,5198
196246,7199,6484
196255,1870,441
196264,20094,18981
196291,2078,1868
196307,1704,327
196389,715,715
196413,32675,25242
196431,375,375
196440,28,21
196468,6422,0
196477,7257,7257
196565,8875,8875
196583,227,227
196592,19120,9080
196653,1917,1917
196680,46954,44572
196699,5025,5025
196866,2287,2287
196884,249,0
197018,1676,1448
197027,1061,1031
197036,4649,4649
197045,4633,3217
197081,691,691
197133,2651,2651
197142,527,527
197151,4649,3959
197197,2342,1918
197221,81,81
197230,516,516
197285,1654,1654
197294,22018,22018
197522,734,734
197601,93,93
197610,118,96
197647,165,99
197674,243,223
197692,98,81
197708,7108,2795
197735,653,495
197744,255,222
197814,3995,3995
197832,1992,1992
197850,3824,3824
197869,19089,16774
197887,11124,11124
197911,1345,1316
197966,2488,2488
197984,1897,1897
197993,793,793
198011,2181,2181
198039,3246,3246
198066,688,688
198084,2265,2265
198109,592,592
198118,6218,6218
198136,7560,5773
198154,14397,14397
198206,2556,2556
198215,1455,1401
198233,7550,7550
198242,429,429
198251,6879,6879
198260,31260,31260
198303,1415,1372
198321,4867,4867
198330,7695,7695
198367,5273,5273
198376,5856,5856
198385,1915,1915
198419,17123,7284
198455,8106,8106
198464,30775,23674
198491,4790,4790
198507,3451,3310
198516,6239,5404
198534,18831,18831
198543,7256,6168
198552,14875,14875
198561,6370,3572
198570,8830,8830
198598,1323,1262
198613,3218,3218
198622,19780,19780
198640,2253,2253
198668,3617,3617
198677,84,84
198695,4423,4147
198710,3781,3781
198729,2014,2014
198747,683,492
198756,1866,1866
198774,5382,5382
198808,925,925
198817,5618,5618
198835,1924,1616
198862,1238,1238
198871,791,791
198899,1439,1425
198905,1000,1000
198914,1851,1851
198923,1984,1984
198950,2183,1854
198969,2882,2665
198978,3714,3714
198987,4968,4968
199023,1176,1176
199032,1008,856
199069,5109,5109
199087,5169,5169
199102,12462,10382
199111,4672,4603
199120,31929,19644
199139,29514,23197
199148,21527,17025
199157,9706,7476
199175,,
199184,901,780
199193,40720,29134
199209,1724,1724
199218,15141,13699
199263,701,701
199272,895,895
199281,7559,6644
199306,2402,1104
199315,503,330
199324,3043,3043
199333,13004,13004
199412,2937,2277
199421,3756,3756
199449,3327,3327
199458,186,186
199467,1133,1133
199476,3635,3635
199485,3226,3226
199494,9695,9695
199582,1628,1628
199607,1284,1035
199625,2006,2006
199634,5697,5697
199643,2690,2527
199698,480,480
199722,2870,2870
199731,3326,3326
199740,4728,4728
199768,4691,4691
199786,7271,7271
199795,1977,1977
199838,5517,5517
199847,7665,4940
199856,27669,27669
199865,1063,962
199892,5160,5160
199908,3991,3991
199926,3553,3553
199953,3073,3073
199962,2692,1741
199971,80,67
199999,7334,6792
200004,11213,8921
200013,1916,1916
200022,5548,5548
200059,2778,2778
200086,334,334
200156,1023,1016
200192,3322,3322
200208,359,359
200217,4383,2739
200226,1310,1289
200244,151,151
200253,4527,4107
200280,17852,13895
200305,3748,3748
200314,1057,1057
200332,16935,12959
200341,1293,1293
200466,430,430
200484,274,274
200527,960,960
200554,873,873
200572,1743,1522
200590,363,363
200624,37,37
200633,491,491
200697,862,0
200785,1052,1052
200800,32451,26545
200846,3010,3010
200873,52,52
201016,547,547
201061,244,234
201104,8136,3672
201140,258,123
201177,458,458
201195,5069,3886
201283,2924,2924
201371,1431,1217
201399,653,653
201432,3042,3042
201441,20228,16601
201469,1570,1570
201548,4353,3226
201645,10335,4167
201654,3595,3435
201672,6923,6923
201690,2840,2786
201751,554,554
201821,427,427
201858,1146,794
201867,162,162
201885,39019,26026
201928,19500,19500
201946,5261,5220
201955,6835,6794
201964,3243,3190
201973,9194,9194
202046,549,549
202073,471,252
202134,20983,13983
202161,904,904
202170,1551,1529
202189,546,546
202222,50240,50240
202356,37652,37652
202435,569,569
202480,13572,8246
202514,1210,1097
202523,2320,2320
202541,5902,5902
202611,805,534
202648,4867,4864
202684,1919,1919
202763,5945,4413
202806,10146,8794
202903,363,363
202912,393,393
203067,483,0
203085,1563,1224
203128,1485,1446
203155,9090,9090
203289,118,118
203313,750,750
203331,3677,3677
203368,4236,3124
203386,2005,2005
203447,3687,3677
203456,2374,2373
203465,7015,6890
203474,5424,5416
203483,3323,3286
203492,3034,3022
203517,33819,25787
203526,4768,4752
203535,1758,1758
203544,1122,1003
203580,1314,1054
203599,13236,13236
203678,5405,5405
203720,665,665
203739,664,664
203748,17311,17311
203757,3109,2709
203775,3465,2314
203845,1799,1635
203881,4344,4344
203960,1342,1342
203997,274,0
204006,4797,4792
204015,2890,2890
204024,19952,15892
204060,720,720
204176,1137,968
204185,2327,2240
204194,2744,2100
204200,2631,2014
204255,4372,4372
204264,3489,2154
204307,1045,1045
204316,1526,1526
204422,4555,4555
204440,7428,7428
204468,2313,1902
204477,778,0
204486,5666,5602
204501,3106,3087
204547,,
204592,227,227
204608,1479,1479
204617,3588,2674
204626,834,834
204635,3698,2591
204662,761,761
204671,1563,1482
204680,1644,1556
204699,1808,1700
204705,3159,3034
204796,64930,48411
204802,1722,1722
204820,3397,3397
204839,3334,3334
204848,4012,4012
204857,32231,26412
204866,3938,3938
204884,310,310
204909,1861,1861
204936,3366,2804
204945,24676,24676
204990,180,0
205027,204,132
205054,518,518
205124,78,57
205179,5010,5010
205203,3034,2907
205391,114,114
205443,5490,5393
205470,35141,35141
205513,224,224
205522,385,385
205531,369,369
205559,178,178
205568,426,426
205610,2790,2790
205647,1768,1768
205692,380,380
205708,1019,1019
205717,740,740
205726,887,887
205841,19315,19315
205887,1426,1426
205957,3491,2380
205966,4640,4640
206002,135,135
206011,4548,4548
206048,9771,8294
206084,25810,19898
206093,566,566
206154,57,57
206215,168,0
206224,476,476
206279,2398,1666
206288,566,0
206330,2380,2077
206349,1866,1107
206394,297,297
206437,3564,2647
206446,3320,3320
206491,620,608
206507,1682,1631
206516,97,0
206525,2075,1994
206589,2086,2086
206604,22047,16618
206613,2171,1980
206622,8433,5039
206631,1091,1091
206695,17328,15675
206817,1303,1303
206835,1629,1439
206862,2914,2096
206914,8262,7535
206923,3522,3522
206941,20464,18115
206996,3564,3564
207041,6102,4646
207050,2632,2632
207069,3628,3628
207157,254,241
207209,3626,2865
207236,3602,3602
207254,1402,1402
207263,11114,9600
207281,7404,7404
207290,3461,3461
207306,2740,2438
207315,434,0
207324,2506,2000
207342,4224,1119
207351,1718,1718
207388,27756,21298
207397,11513,11513
207403,2077,1977
207449,22578,22578
207458,4203,2616
207500,31287,22939
207564,5646,5646
207582,3719,2973
207625,276,276
207661,6008,6008
207670,11897,11897
207689,911,849
207722,1191,1191
207740,3289,3289
207847,5235,4642
207856,773,739
207865,6255,5154
207935,29398,29398
207962,1790,1790
207971,4571,3322
208035,8089,8089
208239,2327,2327
208275,4660,4660
208318,11334,11334
208390,22293,22293
208406,16193,16193
208415,2559,2559
208479,1579,1579
208488,3464,1408
208512,386,386
208646,6320,5380
208725,187,187
208822,4163,2345
208965,1404,1404
209038,19440,19440
209056,4948,2285
209065,1776,1776
209074,12360,12360
209108,2485,1195
209241,190,85
209250,16366,16366
209287,1093,661
209296,631,0
209409,762,539
209445,,
209490,3251,910
209506,5218,5183
209533,161,151
209542,29868,24145
209551,28104,23266
209603,630,555
209612,3801,1678
209746,55558,55558
209807,41435,30128
209825,4538,3639
209922,1521,1492
209940,10897,10897
210076,2490,2490
210146,8339,7068
210155,2279,2279
210234,4892,4892
210270,4543,4543
210304,608,608
210331,1439,1107
210359,780,780
210368,919,0
210401,3242,2269
210429,7975,6159
210438,741,122
210483,608,608
210492,258,245
210571,2710,2616
210605,31029,31029
210669,2189,2189
210739,4100,2925
210775,4152,3294
210809,919,0
210890,185,185
210906,756,756
210942,4325,4325
210951,167,167
210960,2930,2930
211024,1142,759
211079,4232,4232
211088,4642,2393
211130,393,0
211149,274,274
211158,11522,10265
211200,532,532
211273,1879,1396
211291,3760,3651
211307,16500,16500
211316,120,120
211343,5780,5780
211352,4225,1531
211361,11572,8413
211370,95,0
211398,243,243
211431,3453,2254
211440,12287,6197
211468,2043,1759
211477,2158,2158
211556,2676,1141
211583,2621,1725
211608,1433,1365
211617,1246,1246
211644,8151,6635
211750,429,429
211820,198,198
211893,165,123
211909,165,165
211927,19414,19414
211981,2634,2218
212009,2550,2550
212018,269,0
212045,410,410
212054,29768,17481
212072,224,224
212090,1066,1066
212106,11368,6132
212115,8447,7280
212133,5151,3169
212160,9417,7234
212197,1928,1873
212425,487,487
212434,449,449
212443,144,0
212577,2578,2578
212601,4635,3156
212656,2412,2018
212674,2744,2744
212771,3641,151
212805,2487,2487
212832,3181,2641
212869,1832,1832
212878,31794,31794
212911,1264,1264
212975,508,508
212984,3590,2246
212993,135,135
213002,1084,1084
213011,5418,3607
213020,17237,14398
213057,641,641
213233,449,449
213251,1691,1691
213303,2101,2062
213321,3013,2449
213349,11227,10163
213358,1651,1518
213367,8016,4991
213376,2172,2172
213385,2549,2549
213400,1404,1139
213446,146,0
213473,793,793
213507,2343,1872
213525,11058,11058
213534,1755,1755
213543,7489,4920
213570,1092,1092
213589,759,759
213598,2393,1845
213613,6062,5553
213631,157,0
213640,283,0
213659,9673,9673
213668,1414,1414
213686,117,117
213774,1163,1163
213783,3730,3206
213826,3858,2445
213914,417,417
213987,3458,2874
213996,3135,2888
214023,185,185
214041,10434,8575
214069,3523,2737
214111,21419,21419
214148,566,492
214157,2277,1913
214166,2666,2595
214175,2645,2645
214254,1199,1199
214272,3528,2857
214290,1291,1291
214315,123,123
214379,16222,16222
214528,869,869
214564,1169,0
214582,1529,1529
214591,4573,4437
214607,1021,0
214616,823,0
214625,1003,997
214634,795,795
214643,812,751
214652,1505,1504
214661,,
214670,1128,1068
214689,4319,4313
214698,1122,1119
214704,3202,3098
214713,5125,3644
214731,1853,1853
214740,934,934
214759,1101,1101
214768,1268,1268
214777,49223,41614
214786,785,785
214795,1329,1328
214801,4220,4142
214810,1134,1132
214829,1778,1472
214838,362,362
214883,2853,2853
214892,494,494
214944,963,963
214971,356,244
215053,287,287
215062,27998,13190
215099,4069,3179
215105,2405,2109
215114,1386,1011
215123,2630,0
215132,2955,1473
215239,29095,29095
215266,1881,1881
215275,2022,2022
215284,3128,3128
215293,32764,20243
215309,495,495
215381,626,626
215390,324,324
215415,2995,2995
215424,311,0
215433,1095,1095
215442,4730,3907
215585,7383,7383
215619,48,0
215628,103,0
215637,537,537
215646,1056,1056
215655,5788,4426
215682,585,585
215691,1093,617
215743,2830,1945
215770,10775,5867
215798,2066,1801
215813,74,0
215929,7511,4365
215947,3102,2535
215992,478,478
216010,9157,7632
216038,10130,8989
216047,237,112
216083,944,944
216278,2418,2418
216287,1562,1562
216296,915,915
216311,119,119
216339,41230,30778
216348,27,0
216357,1125,1125
216366,4239,1243
216418,2022,2022
216427,188,188
216436,482,482
216445,322,322
216454,343,343
216463,201,0
216524,1785,1785
216542,1342,1277
216551,311,311
216597,12092,7804
216667,1503,1503
216694,2836,1833
216764,17910,14654
216782,1399,1399
216807,1720,1626
216816,659,0
216825,10880,10880
216852,5402,3487
216931,8187,2443
216986,125,125
217013,913,808
217040,76,76
217059,6116,5800
217077,2863,2863
217086,330,330
217156,9396,6930
217165,3716,3428
217235,12392,10718
217305,4129,4086
217402,5416,4588
217420,10631,8795
217475,24616,24616
217484,19257,15389
217493,2473,2030
217518,5382,4911
217536,2849,2071
217606,367,367
217615,4241,4241
217624,765,765
217633,3023,2662
217688,4706,3897
217712,3687,3687
217721,3583,3583
217749,4218,3499
217776,2640,1778
217819,14655,11446
217837,1684,1684
217864,4047,2784
217873,2202,2117
217882,22675,17155
217891,183,183
217907,1252,1248
217925,1493,633
217934,1495,1263
217961,3934,745
217989,2642,2642
217998,926,626
218025,8387,8387
218043,180,180
218061,5077,4329
218070,3166,2902
218089,212,173
218113,20098,20098
218140,10305,10305
218229,3649,3380
218238,3801,3801
218265,145,0
218335,3153,256
218353,17486,17486
218399,1103,1103
218414,1162,1162
218441,2648,2375
218487,3999,3999
218520,8699,8699
218539,1415,1258
218645,3770,3617
218654,2240,2240
218663,34602,24691
218672,2239,2239
218681,1502,1502
218690,1253,1253
218706,700,700
218724,10501,9329
218733,5040,4308
218742,6642,6341
218751,206,0
218821,867,867
218830,8595,8595
218858,6261,6261
218885,8998,8998
218894,24132,24132
218919,727,727
218955,981,981
218964,6972,5443
218973,1617,1617
218991,7950,7950
219000,1962,1905
219046,6396,5263
219055,496,496
219082,5022,4412
219091,819,735
219143,1703,1703
219189,1234,1234
219198,1578,1437
219204,4277,3674
219213,1358,1358
219240,192,0
219259,4070,3358
219277,2694,2461
219295,881,881
219347,2704,2312
219356,14966,13020
219374,1328,1179
219383,1851,1390
219408,390,390
219426,3175,3175
219471,13263,9643
219480,1336,1336
219505,126,110
219578,780,780
219602,12694,11564
219639,1224,1224
219709,6673,5212
219718,6872,5642
219790,2317,2156
219806,2182,1805
219824,13606,13606
219833,2232,1591
219842,267,0
219879,4986,4986
219888,7393,7393
219903,1195,1195
219949,1749,1422
219976,5013,3182
220002,702,702
220057,4765,4765
220075,17562,14194
220118,501,501
220136,172,0
220181,563,504
220206,331,331
220215,2224,1587
220312,251,251
220400,6752,6752
220464,191,191
220473,978,763
220516,2668,2265
220552,1625,1363
220598,2166,2166
220604,1305,1305
220613,5537,5042
220631,5319,2135
220701,1208,1208
220710,1111,1111
220792,783,0
220808,461,398
220862,26464,20650
220871,394,0
220941,1905,1842
220978,30929,26958
220996,212,0
221014,1370,1100
221096,6689,6689
221148,3131,3131
221184,14329,14329
221254,192,192
221351,1956,1944
221397,8861,8861
221485,19592,19592
221519,1780,1590
221643,15625,15625
221661,3672,3018
221670,494,0
221731,1231,1231
221740,12853,10941
221759,33096,22963
221768,9263,8581
221795,266,266
221838,10783,8231
221847,13185,10940
221856,1185,851
221892,3152,1662
221908,8468,8468
221953,2435,2191
221971,5134,3575
221999,13234,6988
222053,11894,11894
222062,8744,8744
222099,403,403
222105,190,190
222178,4938,3919
222497,,
222567,8250,8250
222576,14368,14368
222628,2280,493
222822,7918,7918
222831,8042,6733
222877,264,236
222938,3803,3803
222983,1382,1357
222992,70452,70452
223001,189,0
223083,580,580
223117,148,71
223214,2169,207
223223,1550,0
223232,16225,13324
223320,5629,5629
223427,27821,27821
223463,2047,2047
223472,427,427
223506,6392,6392
223524,24557,24557
223667,25,25
223773,11935,11935
223816,49099,49099
223898,6210,6210
223922,1951,1951
224004,3296,1709
224110,14921,14921
224147,11942,9089
224183,722,722
224226,6976,4399
224244,378,370
224253,,
224271,201,201
224305,2381,0
224323,3126,1432
224350,16453,16453
224402,5941,5941
224439,2500,2500
224527,1345,1315
224545,2505,1776
224554,12661,7196
224572,24797,24797
224615,20288,20288
224642,41258,41258
224660,837,837
224679,1264,1264
224712,138,0
224776,2642,2634
224891,1402,1402
224961,3437,3437
225070,7255,7255
225201,1242,1242
225247,2597,2040
225308,11349,11349
225371,6556,6556
225399,2828,2307
225414,10243,5405
225423,93625,93625
225432,16312,16072
225502,5354,3154
225511,45771,36586
225520,6271,6271
225548,1296,1257
225575,1088,1015
225627,9948,7470
225751,,
225779,394,394
225788,475,475
225849,1349,1349
225858,1019,1019
225876,568,568
225885,559,559
225991,266,266
226019,8342,8342
226091,19938,12459
226107,3535,3535
226116,3929,3929
226134,13351,13351
226152,8313,7130
226204,9640,9640
226231,4166,3554
226277,1555,1555
226329,,
226383,2611,1964
226408,5968,5968
226471,3450,2998
226578,14738,14738
226587,1805,1805
226806,11269,11269
226833,7198,6327
226879,345,345
226930,15828,15828
227146,15087,15087
227182,98313,98313
227191,20317,20317
227216,43761,34051
227225,4477,4477
227243,851,760
227289,165,0
227304,7090,7090
227331,2870,1583
227368,22923,19069
227377,17815,16408
227386,3497,3497
227401,8364,8364
227429,222,222
227526,9699,7687
227687,2533,2533
227757,6780,4050
227766,34219,34219
227836,1287,1287
227845,5920,4836
227854,15651,15651
227863,4461,1747
227881,20125,16423
227924,38811,38811
227979,41508,41508
228042,1345,1252
228149,4543,2636
228158,14334,14334
228194,1354,0
228246,12519,6915
228291,34,34
228316,7404,7404
228325,2331,1870
228343,1419,1419
228431,14851,12937
228459,38047,31799
228468,898,860
228486,234,234
228501,3718,2626
228529,14562,11719
228547,75547,75547
228608,8251,8251
228635,2785,51
228644,3813,1256
228653,3270,892
228671,,
228680,6105,6105
228699,6068,6068
228705,12420,9509
228714,2292,2179
228723,53966,42053
228732,,
228769,46679,35165
228778,55469,41565
228787,21589,13207
228796,26950,22224
228802,8066,5991
228866,354,0
228875,10136,8661
228884,1276,1276
228909,2084,0
228981,1460,1460
229018,4914,3778
229027,34872,29312
229036,823,823
229063,11062,7842
229090,,
229115,35958,28429
229160,3554,1938
229179,17754,9607
229267,2662,2431
229300,5468,829
229319,7591,7591
229328,1522,1522
229337,5019,1569
229355,15651,15651
229407,,
229504,7415,7415
229540,6065,6065
229780,10664,7950
229799,8076,8076
229814,9246,7284
229832,4475,4475
229841,10604,10604
229887,1810,1777
230038,39996,35907
230047,3771,3771
230056,761,743
230092,,
230171,11662,11662
230366,666,666
230384,1112,1112
230418,2574,2574
230472,629,629
230597,5409,5409
230603,16031,14607
230621,997,997
230630,932,932
230728,37770,32109
230737,41667,41515
230746,48876,48876
230764,40410,30765
230782,32686,31833
230807,4041,2916
230816,873,704
230825,238,219
230834,3101,2247
230852,3770,3195
230861,11009,11009
230889,944,312
230898,862,692
230913,2362,1944
230931,1777,1561
230940,292,292
230959,4637,3739
230977,685,685
230995,4631,2573
231059,3309,2121
231068,679,0
231077,481,271
231086,577,577
231095,137,137
231147,905,0
231156,,
231165,1893,1893
231174,15560,13372
231411,1340,1340
231420,963,934
231536,6807,6807
231554,979,979
231581,1700,1700
231624,9327,6607
231651,6619,2646
231697,7707,7707
231712,5171,4918
231785,1345,1345
231828,1653,1653
231837,1207,1010
231873,2189,2189
231882,6493,6493
231970,1045,0
232016,2949,2949
232025,1020,971
232043,2134,1243
232052,1381,1381
232089,1572,1572
232186,49345,32634
232195,10685,10685
232256,1097,1097
232265,6283,5186
232308,1183,776
232414,20109,20109
232423,22333,19620
232450,14895,14895
232502,646,646
232557,95639,57635
232566,5450,4571
232575,9719,9719
232609,3206,2388
232672,2226,1844
232681,5969,5036
232706,4233,2717
232788,4429,4429
232797,4366,4323
232867,8042,8042
232885,406,406
232937,8318,7351
232946,76552,76552
232982,29280,21958
233019,4741,4741
233037,2549,2549
233082,149,149
233091,796,796
233116,7887,7887
233277,10193,8835
