unitid,headcountAll,headcountUndergrad
120795,202,0
120838,288,24
120865,1987,1980
120883,7215,4086
120953,4715,4715
120971,35407,35407
121044,32765,32765
121071,1564,1484
121150,8097,3622
121178,,
121257,1131,1131
121275,428,428
121309,4228,2494
121345,1600,1600
121363,5892,5892
121381,1131,1131
121619,47065,47065
121628,109,0
121691,5877,3894
121707,8614,8614
121886,29281,29281
121901,27237,27237
121983,1017,211
122117,359,101
122180,36069,36069
122205,35011,35011
122296,1826,842
122320,,
122339,24688,24688
122366,523,523
122375,35781,35781
122384,20702,20702
122409,32595,27233
122436,9341,5853
122454,786,511
122506,395,190
122597,32508,27890
122603,312,0
122612,11473,6870
122649,213,0
122658,26015,26015
122685,3612,3612
122694,1385,1385
122728,1200,1132
122737,,
122746,15072,15072
122755,32568,26281
122782,,
122791,15410,15410
122834,1345,1345
122843,5973,5805
122852,462,462
122889,27205,27205
122931,10008,5620
122977,42660,42660
123013,34206,34206
123095,740,0
123165,1084,1052
123208,2611,2611
123217,14714,14714
123280,80,59
123299,12481,12481
123341,24750,24750
123448,266,0
123457,1565,1162
123484,3951,3951
123509,16469,16469
123527,16565,16565
123554,4556,3180
123563,16207,16207
123572,9194,8146
123581,220,220
123633,880,248
123642,602,602
123651,2777,2454
123679,1600,1600
123800,28546,28546
123855,107,0
123916,147,0
123925,,
123943,406,0
123952,475,250
123961,41924,19094
123970,1421,0
124113,12409,12409
124283,410,0
124292,365,365
124487,390,390
124557,,
124681,15000,15000
124706,1510,1510
124937,1255,1255
125019,,
125028,20770,20770
125037,132,0
125091,16928,16928
125170,11131,11131
125222,,
125231,75895,13823
125462,4321,4321
125471,15549,15549
125480,,
125499,18446,18446
125532,2087,2087
125718,159,0
125727,1399,1389
125763,2604,1680
125897,2772,2303
126012,429,0
126030,524,0
126049,1375,0
126076,190,190
126100,,
126119,10412,10412
126182,4210,3058
126207,7957,7957
126289,23034,23034
126359,1110,1110
126401,782,782
126410,144,144
126562,29693,16271
126580,13485,10027
126605,1338,1338
126614,37228,29890
126669,4797,4317
126678,2476,2345
126687,819,819
126702,3506,3506
126711,10566,10566
126748,2205,2205
126775,6673,4118
126784,279,279
126818,34703,25590
126827,4171,2798
126863,12533,12533
126872,1014,1014
126924,190,190
126942,19381,19381
126951,1883,1883
126979,1180,0
127024,940,940
127060,13840,5879
127185,3962,3962
127200,33649,33649
127273,413,0
127389,1218,1218
127556,10901,10773
127565,29674,29380
127617,2593,2593
127653,1199,484
127680,643,643
127699,516,516
127714,1228,1228
127732,3070,3070
127741,15860,11895
127778,2234,2234
127787,804,804
127820,23811,23811
127839,726,726
127884,12872,12872
127909,15127,15127
127918,14641,7165
127945,672,654
128106,13070,7122
128179,693,693
128188,888,888
128258,2860,2860
128300,,
128328,4422,4422
128391,2745,2387
128425,32,24
128498,2532,1974
128577,2541,2541
128683,1788,1788
128744,5816,2834
128771,15153,11667
128780,2637,2637
128902,2108,2101
129020,28218,19140
129154,4473,4473
129215,6648,6262
129242,5810,4303
129367,6594,6594
129428,431,0
129491,203,0
129525,8176,6155
129534,561,69
129543,8808,8808
129613,563,563
129686,83,81
129695,10445,10445
129729,9891,9891
129756,4441,4441
129774,1036,1036
129808,6794,6794
129941,7473,5247
130004,9156,9156
130040,2319,2319
130110,217,217
130183,12175,10751
130217,3074,3074
130226,9224,6444
130253,7635,4711
130314,3228,1220
130396,10744,10744
130448,850,850
130493,12824,9440
130581,161,0
130590,2594,2459
130606,6856,6856
130624,1045,1045
130697,3507,3083
130776,8002,7142
130794,13022,6331
130882,,
130891,6217,6217
130907,4658,4658
130916,10037,10037
130934,4406,3848
130943,23304,19292
130989,1614,821
131098,2121,1938
131113,15388,9369
131159,13515,7712
131283,7416,3805
131308,953,656
131399,11084,10676
131405,129,0
131450,1707,1227
131469,28699,10952
131496,20533,9526
131520,11087,7498
131742,3262,3262
131803,3060,2184
131876,3103,2113
131973,842,0
132268,1450,1450
132338,3487,3487
132408,702,689
132471,10673,5516
132523,53,0
132602,3885,3826
132657,2546,1858
132693,24527,24527
132709,62796,62796
132806,466,466
132842,1343,457
132851,11806,11806
132879,428,428
132903,69086,58273
133021,2997,2997
133085,601,582
133386,22859,22859
133465,1623,1478
133492,2680,2680
133508,23727,23727
133526,858,858
133553,5743,5028
133650,14383,12103
133669,36800,30319
133702,51309,51309
133711,3150,3150
133809,516,516
133845,1075,1075
133854,1026,1026
133863,1121,1121
133872,3514,3408
133881,6131,3001
133951,60592,49029
133960,1963,1963
133979,2065,2001
133997,9809,9809
134079,2717,2500
134097,46805,36369
134112,5897,5897
134121,309,309
134130,56683,35908
134149,3338,2704
134237,30129,26727
134343,10291,10291
134422,127,127
134495,40106,40106
134510,105,105
134608,25574,25574
134680,1354,1354
134811,5468,5340
134875,1502,1502
134909,1266,1266
134945,4813,4159
135063,893,893
135081,32275,30869
135124,1178,1178
135160,4577,4577
135188,6638,6638
135364,1727,742
135391,16630,16630
135610,487,340
135717,100855,100855
135726,19404,12980
135939,421,421
135957,1111,1111
136011,920,920
136066,2475,2475
136075,654,654
136145,1867,1867
136172,19183,16816
136206,748,694
136215,37797,7643
136233,11254,11254
136288,1609,1547
136330,4138,3184
136358,43413,43413
136400,15519,15519
136473,17691,17691
136516,16397,16397
136701,113,0
136774,1386,1386
136950,3592,2839
137032,26687,22007
137078,44577,44577
137096,21809,21809
137148,1838,236
137209,27663,27663
137272,76,54
137281,9535,9535
137315,4011,4011
137351,49408,37028
137476,5249,3455
137537,337,337
137546,4166,2385
137564,3219,2845
137759,21646,21646
137777,75,60
137801,1615,1557
137810,851,822
137847,7691,6692
137892,908,908
137953,298,288
137962,229,229
138187,60469,60469
138275,1243,1094
138293,837,747
138309,8613,8613
138354,15141,12160
138558,3935,3935
138600,943,943
138655,415,415
138664,24,24
138682,6676,6676
138691,8559,8559
138716,5405,4769
138761,361,361
138789,9057,8127
138813,5521,5521
138840,7094,7094
138868,1501,1501
138901,4367,4367
138929,789,0
138947,4174,3380
138956,6257,6257
138983,8227,7205
139010,5316,5316
139074,1089,1089
139144,2196,1990
139153,1009,785
139199,3475,2143
139205,1019,1019
139214,286,286
139250,4412,4412
139278,10246,10246
139287,240,240
139311,8990,8594
139348,356,0
139357,5555,5555
139366,10238,8566
139384,8778,8778
139393,1144,1078
139463,6685,6685
139533,5887,5887
139579,2352,1498
139621,4533,4533
139630,884,884
139658,15290,8077
139700,7603,7603
139719,4430,4099
139755,23461,15514
139764,3784,3380
139773,11474,11474
139861,7619,6256
139904,11044,11044
139931,23663,20164
139940,38254,28420
139959,38837,29024
139968,5761,5761
139986,7609,7609
139995,230,230
140003,684,684
140012,9474,9474
140085,5583,5583
140146,473,0
140164,29114,26626
140234,1164,935
140243,5102,5102
140252,3045,1167
140304,8672,8672
140322,7598,7598
140331,16875,16875
140340,774,774
140401,2652,494
140447,9678,4960
140483,4379,4379
140553,2574,2574
140562,344,0
140599,2970,2970
140669,7184,6455
140678,3478,3478
140696,1191,1131
140720,1046,1046
140818,3340,1517
140872,1391,1257
140942,7354,7354
140951,12497,9892
140960,5114,4923
140988,2084,1995
140997,2924,2924
141006,3215,3215
141060,2223,2223
141097,6986,5940
141158,2406,2406
141167,1389,1073
141185,834,834
141237,1020,1020
141255,6758,6758
141264,15229,12197
141307,1458,1458
141325,839,740
141334,13651,11469
141361,939,939
141468,3017,3017
141486,3806,2785
141565,4851,4179
141574,23898,16886
141644,9819,8070
141680,6270,6270
141796,12669,12669
141802,1746,1746
141811,10939,10939
141839,5948,5948
141936,52,0
141963,,
141981,2104,2104
141990,3798,3798
142054,813,813
142090,249,249
142115,29684,22775
142179,1364,1364
142276,17847,15094
142285,14472,11469
142294,1058,1030
142328,5911,5911
142337,721,721
142443,8791,8791
142461,2607,1533
142522,30025,30025
142559,13730,13730
142832,1116,0
142887,496,496
143048,3626,2807
143075,451,451
143084,2737,2737
143118,7592,3183
143215,23937,23937
143233,60,0
143279,12232,12232
143288,591,591
143297,309,292
143358,5978,5149
143613,4370,4370
143659,487,0
143853,2457,0
143978,3994,0
144005,8194,6198
144014,254,0
144050,17308,5518
144157,11009,11009
144166,12271,12271
144175,7967,7967
144184,20616,20616
144193,14170,14170
144209,17602,17602
144218,19137,19137
144281,12741,12168
144351,6759,1552
144467,1926,1926
144485,1555,1555
144500,,
144564,9877,9877
144740,30369,19088
144759,41071,40785
144777,,
144865,46477,46477
144883,1005,1005
144892,12735,10579
144944,18665,18665
